,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('ROM1', 'SLC7A14')",0.0,0.8,9.036590964131962e-05,0.2,0.0,0.0,0.23519110111042832,0.430574902036277,344.72624646231975,0.3100040627222827,0.5,0.0,31.535694062442957,1.0,0.0,9.192388155425117,13.92838827718412,0.0,0.0,0.0,0.0
"('DEAF1', 'FHL1')",0.0,0.0,0.00016476201774157407,1.0,0.0,0.25,0.6494639855694734,0.40214206937355657,328.7460418012664,0.21628308240714805,0.5,0.7071067811865476,25.739075352467502,39.85599076675927,2.1213203435596424,53.96758286230726,48.30113870293329,0.0,0.0,0.0,0.0
"('CMTM6', 'MNDA')",1.0,0.0,0.0006439108569809595,0.3333333333333333,0.0,0.0,0.5817768892730721,0.003924469796789434,327.8278206620055,0.5442257696655456,0.6373774391990981,1.0,0.0,15.231546211727817,0.0,0.0,136.62540027388758,0.0,0.0,0.0,0.0
"('ZNF195', 'ZNF589')",1.0,0.0,0.00032994697752071245,0.0,0.0,0.0,0.5173680581976347,0.0013190762560074001,29.6,0.0,0.5,1.0,0.0,60.10407640085654,3.5355339059327378,43.0,7.0,0.0,0.0,1.0,0.0
"('KRT17', 'SPINK5')",0.5,0.045454545454545456,0.004039914353815699,0.3333333333333333,0.0,0.0,5.001747745684242e-06,0.077642868919737,229.45615049503468,0.39326418932827417,0.5,1.5811388300841898,34.532593299664015,356.39304145844375,2.1213203435596424,47.69171835864168,85.03234678638476,0.0,0.0,0.0,0.1118421052631579
"('BRCA2', 'FANCC')",0.07692307692307693,0.7244094488188977,0.0,0.5,0.5,0.0,4.1576115159224707e-10,0.41050438026119956,410.5646112367699,0.6280114348353464,0.75,13732.720961266197,109.5285350947414,84.53697415923993,43.502873468312416,0.0,39.147158262126766,0.03680981595092025,0.16666666666666666,0.0,0.0
"('CD70', 'TNFRSF9')",1.0,0.0,0.0045028818443804035,0.5,0.0,0.0,0.1818348434762413,0.0013898022337910166,261.06652408916773,0.48231804373514786,0.6373774391990981,2795.901017561244,0.0,6.519202405202649,4.301162633521313,0.0,46.75467891024384,0.1,0.0,0.0,0.029411764705882353
"('ATXN2', 'FUS')",0.0,0.390625,0.00019532012969256611,0.5,0.0,0.0,0.999913030238106,0.9104628934280584,321.45074272740453,0.1669208105897139,0.6373774391990981,423.556961930742,44.83859944289072,573.9499107065006,80.61017305526642,83.24061508662703,57.30619512757761,0.023391812865497075,0.0,0.007751937984496124,0.0
"('HAMP', 'TPI1')",0.0,0.0,9.742467611166426e-05,0.3333333333333333,0.0,0.5,0.41218568630334135,0.36730613431196657,2972.4578390618094,0.3734970602833584,0.6373774391990981,4350.12091785964,23.08679276123039,291.34944654143413,0.7071067811865476,41.743262929483606,12.020815280171307,0.0,0.0,0.012195121951219513,0.0
"('DHH', 'PTCH1')",0.35714285714285715,0.013793103448275862,0.0005744155321959905,1.0,1.0,0.5,0.7305645756857363,0.8291379711644394,910.0,0.19217208217001688,0.6373774391990981,9178.034130466067,82.97288713790789,7.3824115301167,14.560219778561036,207.53072061745462,5.830951894845301,0.0,0.13333333333333333,0.006493506493506494,0.0
