,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('KAL1', 'TTN')",0.0,0.0,0.00020628169002463004,0.5,0.0,0.3333333333333333,0.663672268196451,0.23431465714693686,910.0,0.18116413772038625,0.5303300858899106,49.49747468305833,23.33452377915607,335.8943286213687,21.920310216782973,71.11258679024411,15.116216457830975,0.0020876826722338203,0.0,0.0,0.0
"('HAMP', 'NEXN')",0.0,0.038461538461538464,8.263595473863487e-05,0.3333333333333333,0.0,0.3333333333333333,0.03005566862771325,0.3802959274403125,577.1569154051608,0.41650368583303077,0.5,0.0,13.583077707206124,184.58873205046942,0.7071067811865476,34.21257078911201,1.4142135623730951,0.0,0.0,0.0,0.0
"('KRT14', 'KISS1R')",0.0,0.030534351145038167,5.013091688945682e-05,0.5,0.2,0.0,0.04770139909237071,0.48612096436445434,454.6,0.2860843029511786,0.5,195.88006534611938,67.91538853603062,473.7699863857988,93.38094023943002,57.83165223301164,40.36087214122113,0.0014858841010401188,0.0,0.043010752688172046,0.0
"('KRT5', 'KCNJ10')",0.0,0.031578947368421054,6.316632577906189e-05,0.3333333333333333,0.25,0.0,0.537744192846026,0.4489299020960003,344.72624646231975,0.1189392497827731,0.5,181.03176516843666,49.0,533.1885220069914,12.349089035228468,56.586217403180434,50.284192347098504,0.0,0.0,0.0,0.0
"('MEFV', 'USH1C')",0.0,0.025210084033613446,0.00015483519342012362,0.3333333333333333,0.25,0.0,7.920620654382625e-09,0.26592103572062237,261.06652408916773,0.4205894110226731,0.5,101.1162697096763,68.8839603971781,10.0,6.670832032063167,129.40247292845683,66.72705598181295,0.0,0.0,0.0,0.0
"('NEK1', 'MYH7')",0.0,0.028985507246376812,6.915992818433058e-05,0.5,0.0,0.0,0.00010307233329132456,0.3975536827604214,1503.6302737042774,0.22007203389354318,0.6373774391990981,38.18376618407357,73.76313442364011,177.84403279278166,6.363961030678928,103.95431688967996,73.98986417070923,0.015209125475285171,0.0,0.0,0.0
"('KCNE2', 'TJP2')",0.0,0.0,0.00021819673490405887,0.3333333333333333,0.0,0.25,0.00072012176727199,0.1923637488105748,683.1545396175012,0.2035842905728621,0.5,157.74187776237483,9.617692030835672,174.26416728633572,29.698484809834994,25.079872407968907,0.7071067811865476,0.0,0.0,0.0,0.0
"('FGG', 'STX11')",0.0,0.08333333333333333,0.00010671948569745452,0.3333333333333333,0.0,0.3333333333333333,0.057830130179230874,0.1524002466802506,648.795098625136,0.3234635682731519,0.6373774391990981,1243.093922437078,13.038404810405298,39.274673773310965,32.526911934581186,56.50221234606659,30.01666203960727,0.0,0.0,0.018018018018018018,0.0
"('TRAPPC9', 'TNFRSF1A')",0.0,0.0,0.00011058998651908064,0.5,0.0,0.0,0.6968367956345219,0.07865412451976224,683.1545396175012,0.2810824425434162,0.75,166.17611139992414,42.04759208325728,142.0563268566381,76.36753236814714,182.43903091169938,14.577379737113251,0.008695652173913044,0.0,0.0,0.0
"('PARK2', 'REC8')",0.0,0.0,0.00012407886949260429,0.3333333333333333,0.3333333333333333,0.0,0.37294838804361674,0.7043325293692001,655.4049168262319,0.3158836256020077,0.5303300858899106,9.192388155425117,0.0,104.80458005259122,51.79285665031424,55.520266569965244,3.5355339059327378,0.0,0.010869565217391304,0.0,0.0
"('HNF1A', 'NPHS1')",0.0,0.0,0.0006944637351037529,0.5,0.3333333333333333,0.5,0.6856527847857312,0.17769620608195622,876.6595690460465,0.2306226763395074,0.5,43.982951242498494,29.427877939124322,261.40103289772975,62.70964838045259,130.29965464267354,4.527692569068709,0.0262582056892779,0.0,0.015706806282722512,0.0
"('COL4A3', 'WDR11')",0.0,0.031578947368421054,0.0002517598010090533,0.5,0.0,0.3333333333333333,0.04972947348156661,0.15064116752760107,719.2917210701094,0.05271873890846371,0.6373774391990981,1100.9652583074544,54.12947441089743,70.66116330771806,29.698484809834994,79.35048834128244,32.01562118716424,0.016129032258064516,0.0,0.0,0.0
"('KCNH2', 'GPR98')",0.0,0.0,8.957106209782593e-05,0.5,0.0,0.5,0.7043146297899749,0.48649756677873673,876.6595690460465,0.2621690109028483,0.3535533905932738,1.4142135623730951,9.192388155425117,100.4116527102308,4.242640687119285,235.62364057963285,16.278820596099706,0.015463917525773196,0.0,0.04774535809018567,0.0
"('TJP2', 'MITF')",0.0,0.0,0.00022410671065134375,0.5,0.3333333333333333,0.3333333333333333,0.7055586723868986,0.7234188055817984,719.2917210701094,0.13689094024095458,0.5,201.89601283829256,36.89173349139343,171.30236425688935,47.81736086402093,219.03538526913866,14.159802258506296,0.007380073800738007,0.0,0.0058997050147492625,0.0
"('KRT5', 'MITF')",0.0,0.05263157894736842,5.543578346561235e-05,0.5,0.3333333333333333,0.2,0.7797097314973491,0.7717159062419842,454.6,0.13301125555149806,0.5,65.08840142452416,50.00999900019995,533.6689048464413,37.58324094593227,225.01555501786981,52.15841255253078,0.003826530612244898,0.0,0.01837270341207349,0.0
"('SMC1B', 'PSMB4')",0.0,0.0,5.417156242162053e-05,0.5,0.25,0.0,0.7524588595442399,0.32747847948227365,1628.0,0.20747259691877917,0.7905694150420949,2026.4063018062295,0.0,299.2265028368978,54.817880294662984,139.30721445783058,28.319604517012593,0.002304147465437788,0.0,0.0,0.0
"('RAB27A', 'FZD4')",0.0,0.0196078431372549,6.963298542372716e-05,0.5,0.25,0.3333333333333333,0.6510946286679475,0.647241116487953,647.8539341549142,0.14270940948499353,0.5,188.81869610819794,26.476404589747453,24.041630560342615,58.706899083497845,56.859475903318,13.285330255586423,0.022222222222222223,0.0,0.0,0.0
"('ATP2B2', 'SHH')",0.0,0.0,0.0008084727948904519,0.5,0.0,0.5,0.9574292156337566,0.7579450976232232,1318.8032453705898,0.17178912812481004,0.6373774391990981,209.95475703112803,57.982756057296896,12.589678312014172,51.61879502661797,307.62070801556905,28.50438562747845,0.041666666666666664,0.0,0.0022727272727272726,0.0
"('FLRT3', 'ABCC6')",0.0,0.027777777777777776,0.0005312451855905056,0.25,0.0,0.5,0.698900537116443,0.49934589570306537,1179.1627198991664,0.23719779901590188,0.5,16.98528775146303,55.7718567021038,5.1478150704935,0.0,107.30563824888233,16.15549442140351,0.0,0.0,0.1456953642384106,0.0
"('FGG', 'FOXL2')",0.0,0.0,6.653705248841923e-05,0.25,0.25,0.0,0.05606962195860472,0.2821412027095055,648.795098625136,0.22300856485794443,0.6373774391990981,1137.0279240194586,16.492422502470642,16.1245154965971,32.59601202601324,46.93080012102926,29.206163733020468,0.0,0.0,0.0,0.0
"('DSP', 'GJB3')",0.0,0.07042253521126761,0.0018416545424409288,0.5,0.0,0.3333333333333333,0.7070398026098501,0.4150036737613795,719.2917210701094,0.20579103487001835,0.5,374.06015558997996,38.3275357934736,349.4810438349983,7.0710678118654755,50.24937810560445,53.600373133029585,0.0038022813688212928,0.0,0.0,0.1276595744680851
"('ATP2B2', 'GPR98')",0.0,0.0,0.00027920014741767785,0.3333333333333333,0.0,0.5,0.7070512778815133,0.2782754977541198,1296.0223763500383,0.2331033953535367,0.3535533905932738,161.22034611053283,0.0,84.02380615040002,0.0,230.5558500667463,28.293108701590217,0.0,0.0,0.012195121951219513,0.0
"('C2orf71', 'BBS1')",0.0,0.0,0.0004958669489802496,0.0,0.0,0.0,1.2577154824963347e-07,0.1180791553269911,683.1545396175012,0.36472567773602116,0.6373774391990981,0.7071067811865476,43.840620433565945,27.577164466275352,0.0,1.4142135623730951,13.583077707206124,0.0,0.0,0.0,0.0
"('C2orf71', 'MAN1B1')",0.0,0.0,6.336653739893037e-05,0.0,0.0,0.0,1.85910397765908e-06,0.0073591954044387895,229.45615049503468,0.4022944471680192,0.5,98.2878425849301,13.435028842544403,60.81118318204309,2.1213203435596424,0.0,43.96020928066653,0.0,0.0,0.0,0.0
"('GDAP1', 'SCN2A')",0.0,0.025,0.0006515804082802838,0.3333333333333333,0.0,0.0,0.7071067877908054,0.6873234032021589,638.0690597419687,0.09567278679679414,0.5,136.47160876900367,41.012193308819754,14.560219778561036,0.0,1.4142135623730951,7.648529270389178,0.0,0.0,0.0,0.0
"('KCNQ1', 'ROM1')",0.0,0.02702702702702703,0.0001694352384631546,0.25,0.0,0.0,0.002311477261823977,0.444599857791675,142.29892831641425,0.31702430703338824,0.5,220.61731573020282,38.3275357934736,24.052026941611388,7.7781745930520225,33.12099032335839,8.0,0.0,0.0,0.0,0.0
"('KCNE1', 'RET')",0.0,0.02631578947368421,0.000267808602547931,0.3333333333333333,0.0,0.3333333333333333,0.7070345196153376,0.6907025408464789,410.5646112367699,0.3249281710748157,0.5,115.57032491085243,76.63223864666881,89.49301648732151,65.05382386916237,178.99720668211557,10.124228365658293,0.0,0.0,0.0,0.0
"('CCDC28B', 'NOD2')",0.0,0.0,5.7016931177713216e-05,0.3333333333333333,0.0,0.0,7.048746928308624e-08,0.11459943150598716,584.6781336769831,0.26317703108622154,0.5,24.748737341529164,38.18376618407357,32.449961479175904,24.041630560342615,147.07821048680188,8.602325267042627,0.0,0.0,0.0,0.0
"('HFE', 'MYO6')",0.0,0.021739130434782608,0.00015325553060896086,0.5,0.25,0.5,0.012578297639925759,0.5235530581086919,124.52150416695102,0.33778446577030197,0.5,1.5811388300841898,28.71410803072246,464.05656982742954,14.212670403551895,245.83937845674765,36.585516259853435,0.005961251862891207,0.0,0.013054830287206266,0.0
