,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('BCAN', 'DOCK7')",0.0,0.0,9.177342975661687e-05,0.3333333333333333,0.25,0.0,0.5454406348448922,0.2169804241751739,719.2917210701094,0.18575430556857475,0.6373774391990981,8.602325267042627,12.020815280171307,112.69871339105873,26.40075756488817,20.506096654409877,16.1245154965971,0.0,0.0,0.0,0.0
"('IQCH', 'MTHFD1L')",0.0,0.0,0.00014117334816594646,0.3333333333333333,0.0,0.0,0.058350118759723894,0.1259191956443367,3028.9407389382845,0.35866516188097697,0.6373774391990981,93.33809511662427,0.0,25.465663156493687,0.0,0.0,12.083045973594572,0.0,0.0,0.0,0.0
"('SIM1', 'WRAP53')",0.0,0.02857142857142857,0.00012495813902342715,0.3333333333333333,0.0,0.25,0.8291991098003041,0.6649046303813626,1318.8032453705898,0.2278594323664644,0.6373774391990981,1.4142135623730951,54.91812087098393,19.144189719076646,0.7071067811865476,7.211102550927978,20.518284528683193,0.0,0.0,0.0,0.0
"('MPZ', 'OGDH')",0.0,0.03125,9.838820443494671e-05,0.3333333333333333,0.0,1.0,0.8561251997355737,0.39059071818672,2972.4578390618094,0.14438504360329893,0.6373774391990981,6301.735673606122,37.12142238654117,213.56497840235883,3.8078865529319543,174.3158053648607,35.531676008879735,0.0,0.0,0.011583011583011582,0.0
"('PSMA3', 'VEGFA')",0.0,0.0,0.00010043669876623559,0.5,0.3333333333333333,0.5,0.7002350624950419,0.904514078270425,1195.2081743361698,0.22529366739934778,0.8838834764831844,115319.36591050091,0.0,618.5951826517888,160.07029705726168,1561.2182742973514,55.37598757584374,0.0077348066298342545,0.0,0.03947939262472885,0.0
"('ATIC', 'GABRG2')",0.0,0.02631578947368421,7.326721211663846e-05,0.3333333333333333,0.0,0.0,0.6777925368972978,0.7924515494003074,2987.1944329085777,0.07889921137473781,0.75,6353.42966436239,19.50640920313116,65.9128212110512,9.192388155425117,52.32590180780452,69.05070600652827,0.0,0.0,0.0,0.0
"('RPL29', 'USH1C')",0.0,0.0,5.76130122444935e-05,0.5,0.25,0.0,0.4223280314747657,0.2724445276680055,1173.8152005320087,0.26797376796753836,0.6373774391990981,3602.0019433642733,20.506096654409877,839.3598751429568,94.11163583744573,45.967379738244816,73.824115301167,0.0016750418760469012,0.0,0.0,0.0
"('ARL4A', 'DRD2')",0.0,0.0,8.14563084652654e-05,0.3333333333333333,0.0,0.0,0.6883528352572942,0.6728783325962107,454.6,0.1122544414737971,0.6373774391990981,254.55844122715712,8.48528137423857,18.027756377319946,138.59292911256333,72.91776189653656,24.38237068047322,0.0,0.0,0.0,0.0
"('NOMO3', 'SPOCD1')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,6.221834272439825e-06,0.020605598807359543,643.4671708797582,0.5062678391918649,0.6373774391990981,0.0,0.0,218.50629281556172,0.0,1.4142135623730951,0.7071067811865476,0.0,0.0,0.0,0.0
"('PDE1A', 'S100A9')",0.0,0.0,6.0307738327135714e-05,0.5,0.3333333333333333,0.25,0.6997624669355778,0.2533374194557936,1157.8849705389564,0.3745308917684746,0.6373774391990981,266.0018796926067,0.0,118.1397477566293,14.317821063276353,101.13604698622544,30.700162866017504,0.011764705882352941,0.0,0.012269938650306749,0.0
