,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('TOM1L2', 'ZNF853')",0.0,0.0,0.0005956493769507517,0.0,0.0,0.0,0.2930792265802608,0.15961571481704898,321.45074272740453,0.2446810137084358,0.5,0.0,0.0,16.263455967290593,2.1213203435596424,30.4138126514911,19.72308292331602,0.0,0.0,0.0,0.030303030303030304
"('AIRE', 'TRAK2')",0.0,0.0,5.2751686207649626e-05,0.3333333333333333,0.0,0.2,1.0963564006605718e-06,0.14591786626159567,638.0690597419687,0.3071818650247983,0.5,2.0,22.627416997969522,51.73973328110612,0.7071067811865476,48.088460154178364,16.0312195418814,0.0,0.0,0.0,0.0
"('SRA1', 'VAMP7')",0.0,0.16666666666666666,0.0002429059322486774,0.5,0.25,0.0,0.0032752946989485295,0.1373294593379736,1157.8849705389564,0.05026886389889819,0.6373774391990981,115.25840533340725,27.97320146139873,118.96428035339011,20.0,20.591260281974,55.915114235777075,0.0045871559633027525,0.0,0.0,0.0
"('ACPL2', 'CADPS2')",0.0,0.0,0.0002826519536903039,0.3333333333333333,0.0,0.0,0.7218082979255745,0.6054473523526503,819.8088191767639,0.1574769248072182,0.3535533905932738,0.0,0.0,9.219544457292887,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0
"('CEP41', 'PLD2')",0.0,0.0,0.0,0.0,0.3333333333333333,0.5,8.883333253051191e-05,0.25864099638545696,1135.867069687294,0.16066476221102913,0.6373774391990981,360.65842566062423,35.35533905932738,27.577164466275352,53.89341332667657,433.31108917266357,3.5355339059327378,0.0,0.0,0.06748466257668712,0.0
"('C18orf21', 'ENPP6')",0.0,0.0,6.220832073614839e-05,0.0,0.0,0.0,0.0019597593473606465,0.06951537898810595,648.795098625136,0.2761581448874075,0.6373774391990981,196.5756851698602,0.0,1.4142135623730951,0.0,0.0,12.349089035228468,0.0,0.0,0.0,0.0
"('MCM8', 'WDR62')",0.0,0.025,0.0015315108354391606,0.3333333333333333,0.0,0.16666666666666666,1.3639644772751397e-10,0.7103658169514957,1318.8032453705898,0.30634497164138086,0.75,6.363961030678928,23.50531854708632,62.10072463345335,23.33452377915607,5.385164807134504,38.137907651049765,0.0,0.0,0.0,0.0
"('ANGPTL3', 'ARHGAP19-SLIT1')",0.0,0.0,0.0,0.0,0.0,0.0,2.5710443550697266e-07,0.36824714653700674,321.45074272740453,0.23862496842442024,0.3535533905932738,0.7071067811865476,2.8284271247461903,2.8284271247461903,4.242640687119285,20.506096654409877,61.518289963229634,0.0,0.0,0.0,0.0
"('FOXF1', 'TBX1')",0.0,0.06372549019607843,9.425470448793776e-05,0.3333333333333333,0.5,0.5,0.9471424458536406,0.6888833801234775,719.2917210701094,0.18541766853661912,0.5,0.0,131.05151658794338,89.10667763978185,10.816653826391969,43.266615305567875,22.135943621178654,0.0,0.14285714285714285,0.02857142857142857,0.0
"('C3orf67', 'FAM181A')",0.0,0.0,0.00021163125370354696,0.0,0.0,0.0,0.017666262470461765,0.13166534947212863,577.1569154051608,0.3823941813330262,0.5,0.0,0.0,0.0,0.0,0.0,6.363961030678928,0.0,0.0,0.0,0.0
"('EVC2', 'SIGLEC15')",0.0,0.0,7.53582909945335e-05,0.0,0.0,0.0,7.64929113696506e-12,0.017398251839351963,261.06652408916773,0.26252946312416914,0.6373774391990981,737.5127117548551,54.44722215136416,1.4142135623730951,0.7071067811865476,13.45362404707371,8.276472678623424,0.0,0.0,0.0,0.0
"('CDK5RAP3', 'TSC22D1')",0.0,0.0,0.00010362887597903381,0.5,0.0,0.0,0.6654946400289818,0.1934576038631402,683.1545396175012,0.1703070059079716,0.5,0.0,0.0,206.22802913280242,0.0,1.4142135623730951,12.747548783981962,0.012121212121212121,0.0,0.0,0.0
"('RIF1', 'ZDHHC4')",0.0,0.0,0.000723238372135072,0.3333333333333333,0.0,0.0,0.7071067793736701,0.0644033833889028,454.6,0.47084243670957654,0.6373774391990981,94.75230867899737,0.0,301.22831872186254,2.1213203435596424,1.4142135623730951,58.8430114796991,0.0,0.0,0.0,0.0
"('ADAMTSL3', 'MMRN2')",0.0,0.0,0.00043623546245321373,0.0,0.0,0.0,6.756106284911541e-09,0.029034401948448543,608.4855174940485,0.42272958654107873,0.5,1.4142135623730951,0.0,0.7071067811865476,0.0,0.0,18.788294228055936,0.0,0.0,0.0,0.0
