,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('SERPINB13', 'USP49')",0.0,0.0,0.00043182554248083775,0.3333333333333333,0.0,0.0,0.6671817391846746,0.21286831393047315,599.3541357161057,0.34946163599111385,0.6373774391990981,42.432299018554254,0.0,29.53811097548386,0.7071067811865476,7.280109889280518,36.36619309193636,0.0,0.0,0.0,0.0
"('ENPP7', 'RILP')",0.0,0.0,0.00021737145738867322,0.3333333333333333,0.0,0.0,0.00047436948064987053,0.009880309033363911,638.0690597419687,0.3769456260523525,0.6373774391990981,92.72809714428524,0.0,149.20120642943877,2.1213203435596424,5.70087712549569,10.63014581273465,0.0,0.0,0.0,0.0
"('GNA15', 'RMND5A')",0.0,0.0,0.00013375242426268976,0.5,0.0,0.0,0.7158547891378776,0.3127459910729374,967.322076663197,0.24240101788610996,0.5,1101.672365088641,0.0,32.96209944769902,149.90663761154806,37.476659402887016,35.106979363083916,0.03389830508474576,0.0,0.0,0.0
"('IGLL5', 'POGZ')",0.0,0.0,0.0,0.5,0.0,0.0,0.7071061646781487,0.19009272824501713,563.5641046056784,0.10302545801887997,0.75,0.0,9.192388155425117,108.19658035261558,0.0,0.0,120.91525958289962,0.006493506493506494,0.0,0.0,0.0
"('ANKMY1', 'CNNM3')",0.0,0.0,0.00031206213781288133,0.0,0.0,0.0,5.5243918700156174e-14,0.03534368205315367,615.407198527934,0.4102935705681808,0.5,0.0,0.0,65.05382386916237,0.0,0.0,14.983324063771697,0.0,0.0,0.0,0.0
"('FOXP4', 'SUSD5')",0.0,0.0,7.554279385957954e-05,0.0,0.0,0.0,0.4750137059713487,0.12916229175263894,261.06652408916773,0.2736152044596515,0.5,0.0,0.0,4.949747468305833,0.7071067811865476,9.899494936611665,33.97793401606401,0.0,0.0,0.0,0.0
"('SCN5A', 'STAT6')",0.0,0.0,7.35592681735528e-05,0.5,0.25,0.0,0.7076964989055142,0.5877747147086008,608.2660643172525,0.2459721540247098,0.5,284.1144135731237,28.284271247461902,125.43723530116566,49.52272205765753,294.93219559756443,13.435028842544403,0.008658008658008658,0.0,0.0,0.0
"('NRP1', 'TLN2')",0.09090909090909091,0.0,0.0001675291626389864,0.5,0.3333333333333333,0.5,0.9979464171613098,0.6942090309681308,719.2917210701094,0.09358398225494509,0.6373774391990981,1070.5634030733538,0.0,122.64175471673585,35.11409973215888,117.63077828527702,4.242640687119285,0.008333333333333333,0.0,0.013333333333333334,0.0
"('DUSP2', 'HOXD10')",0.0,0.0,7.92261820348294e-05,0.5,0.3333333333333333,0.0,0.5673447363244349,0.7033966947616733,344.72624646231975,0.257725286588467,0.6373774391990981,64.3622560201241,3.5355339059327378,6.519202405202649,7.211102550927978,23.50531854708632,35.531676008879735,0.08333333333333333,0.0,0.0,0.0
"('GJC3', 'RSPRY1')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.7069616574191994,0.24823934253625304,328.7460418012664,0.28198635265082994,0.5,0.0,21.213203435596427,14.300349646075091,0.0,14.142135623730951,1.4142135623730951,0.0,0.0,0.0,0.0
"('BTNL8', 'CALCR')",0.0,0.0,0.0001639056755618277,0.25,0.0,0.0,0.00016793795597881795,0.09147642417629193,126.26830560358367,0.5509026748144012,0.5,517.6026468247627,0.0,9.219544457292887,53.74011537017761,60.81118318204309,0.7071067811865476,0.0,0.0,0.0,0.0
"('AFF1', 'DIDO1')",0.0,0.0,0.00021994796031259004,0.5,0.0,0.3333333333333333,0.7833179029473987,0.0345600990987235,394.94392639968527,0.2763711916165568,0.75,0.7071067811865476,0.0,64.3622560201241,12.020815280171307,15.508062419270823,58.502136713115014,0.007936507936507936,0.0,0.0,0.0
"('EZR', 'NOP2')",0.0,0.0,0.0002369892880841786,0.5,0.0,0.0,0.6995554521010624,0.5036801684532574,3038.7579699607536,0.40128716511855805,0.7905694150420949,41.743262929483606,0.0,383.4872879249063,21.920310216782973,94.88150504708491,33.54101966249684,0.013313609467455622,0.0,0.007142857142857143,0.0
"('FGA', 'hsa-mir-6080')",0.0,0.0,0.0,0.0,0.0,0.0,4.4876223213509814e-10,0.011632785484247721,321.45074272740453,0.4638620484583751,0.3535533905932738,612.3544725075502,16.97056274847714,128.69343417595164,33.23401871576773,42.42640687119285,31.81980515339464,0.0,0.0,0.0,0.0
"('KRT71', 'ZNF324B')",0.0,0.0,0.00012941867718581677,0.5,0.0,0.0,0.004064377569366105,0.07722762266386277,68.87220048756973,0.3499146436096952,0.5,1.5811388300841898,9.192388155425117,142.38152970101143,0.0,38.890872965260115,35.4682957019364,0.0037593984962406013,0.0,0.0,0.0
"('UBE3D', 'ZNF107')",0.0,0.0,0.0,0.5,0.0,0.0,6.773708572452286e-08,0.013412341883531005,643.4671708797582,0.0,0.6373774391990981,0.7071067811865476,0.0,3.5355339059327378,0.0,30.405591591021544,15.556349186104045,0.16666666666666666,0.0,0.0,0.0
"('MDN1', 'SH2D3A')",0.0,0.0,0.00020621703105216054,0.5,0.0,0.0,0.7071067808312448,0.1281238165133654,1157.8849705389564,0.2849891703595458,0.75,0.7071067811865476,0.0,446.21183310172313,0.7071067811865476,0.0,70.50177302735017,0.0015698587127158557,0.0,0.0,0.0
"('SLC39A2', 'UTP3')",0.0,0.0,5.212237081731005e-05,0.3333333333333333,0.0,0.0,0.002020236601012045,0.06400237183490287,615.407198527934,0.2712383980837546,0.6373774391990981,1.5811388300841898,0.0,7.615773105863909,0.7071067811865476,223.4737121005511,24.01041440708594,0.0,0.0,0.0,0.0
"('BHLHE40', 'FBXL5')",0.0,0.0,0.0002190331002821146,0.5,0.0,0.0,0.9597621037643231,0.3982449658559599,454.6,0.20405887665654837,0.6373774391990981,47.460509900337144,0.0,39.881073205218534,16.97056274847714,18.66815470259447,33.421549934136806,0.039473684210526314,0.0,0.0,0.0
"('DGKZ', 'FANCB')",0.0,0.0,0.00011284185439789845,0.3333333333333333,0.25,0.0,0.9932800405798945,0.10416183096521882,683.1545396175012,0.49712611928184003,0.6373774391990981,57.30619512757761,74.95331880577403,61.05735008989499,32.7566787083184,18.027756377319946,21.02379604162864,0.0,0.0,0.0,0.0
"('HMCN1', 'RSAD1')",0.0,0.0,9.658224412707518e-05,0.0,0.0,0.0,4.066435639110695e-06,0.19866363234319054,655.4049168262319,0.2366879243935334,0.6373774391990981,0.0,0.0,1.4142135623730951,0.0,0.0,19.924858845171276,0.0,0.0,0.0,0.0
"('CEP78', 'ZNF862')",0.0,0.0,6.969204479247103e-05,0.3333333333333333,0.0,0.5,3.7902914208191285e-06,0.0791656281496694,615.407198527934,0.3031736681583639,0.5,4.949747468305833,0.0,46.71723450719231,50.91168824543142,176.58567325805342,15.811388300841896,0.0,0.0,0.028469750889679714,0.0
"('PTCRA', 'RAB15')",0.0,0.0,9.273504392395356e-05,0.5,0.0,0.0,0.008057590551780692,0.16454481892600026,64.34671708797582,0.5589841370129377,0.5,1.5811388300841898,0.0,5.0,2.1213203435596424,43.266615305567875,40.10610926031095,0.1111111111111111,0.0,0.0,0.0
"('C1orf112', 'CAPZA3')",0.0,0.0,7.062515978942402e-05,0.5,0.0,0.0,0.0001503673987579812,0.1339612912313362,595.383909759073,0.29288268251220567,0.5,487.19657223753126,0.0,12.103718436910205,0.0,0.0,31.81980515339464,0.05555555555555555,0.0,0.0,0.0
"('KRT80', 'TP53I13')",0.0,0.0,9.624555706447201e-05,0.0,0.0,0.0,0.04435986071491782,0.037597201140507464,97.4,0.43865606116865635,0.6373774391990981,1.4142135623730951,0.0,127.27922061357856,0.0,38.890872965260115,53.744767187141115,0.0,0.0,0.0,0.0
"('MPDZ', 'WBSCR28')",0.0,0.0,5.57015555216395e-05,0.3333333333333333,0.0,0.0,1.122889125972415e-06,0.16194068028329625,170.25686476615266,0.44956069834832435,0.5303300858899106,0.7071067811865476,4.949747468305833,173.24260445975753,16.97056274847714,0.7071067811865476,6.708203932499369,0.0,0.0,0.0,0.0
"('C21orf67', 'TSPYL2')",0.0,0.0,0.00017032206198701124,0.0,0.0,0.0,0.6184609247382598,0.011692787737272087,69.00713731202012,0.48356403976676715,0.5303300858899106,0.7071067811865476,0.0,11.313708498984761,0.0,0.7071067811865476,5.522680508593631,0.0,0.0,0.0,0.0
"('CRYBG3', 'SLC5A8')",0.0,0.0,4.990373569384657e-05,0.0,0.0,0.0,0.0003349692897222792,0.19273255896651897,229.45615049503468,0.30650018188724387,0.5,1.4142135623730951,0.0,0.0,0.0,4.949747468305833,24.041630560342615,0.0,0.0,0.0,0.0
"('TRPM5', 'ZFPM1')",0.0,0.0,0.004320214282628418,0.0,0.2,0.0,0.02226809121293322,0.025927807829108886,454.6,0.3297560455651675,0.6373774391990981,127.28707711311466,0.0,6.363961030678928,21.224985276791124,12.649110640673518,241.29857024027308,0.0,0.0,0.0,0.023121387283236993
"('GC', 'MAGI1')",0.0,0.0,0.00014614541468761417,0.5,0.2,0.3333333333333333,0.706835022035933,0.5451598458802799,692.302477245315,0.28013079147173114,0.6373774391990981,2.23606797749979,0.0,77.62087348130012,6.96419413859206,42.1070065428546,31.827660925679098,0.008264462809917356,0.0,0.0,0.0
"('ERMP1', 'ITPKB')",0.0,0.0,0.00011026197141789177,0.3333333333333333,0.0,0.0,0.7062936628971156,0.08714792396722992,819.8088191767639,0.2929124869308237,0.6373774391990981,155.56349186104046,0.0,5.0990195135927845,17.67766952966369,0.7071067811865476,12.529964086141668,0.0,0.0,0.0,0.0
"('C1orf112', 'ZNF493')",0.0,0.0,0.00011921608272642413,0.5,0.0,0.0,4.7922960205635994e-08,0.12986529293358995,876.6595690460465,0.4428417076803228,0.5,0.7071067811865476,0.0,1.5811388300841898,0.0,30.405591591021544,50.24937810560445,0.5,0.0,0.0,0.0
