gene A,gene B,paper,unaffected score,unaffected percentile,permuted score,permuted percentile,random score,random percentile,matched score,matched percentile,unaffected no gene overlap score,unaffected no gene overlap percentile,random no gene overlap score,random no gene overlap percentile,all digenic vs unaffected score,all digenic vs unaffected percentile,pathway similarity,phenotype similarity,mutual co-expression rank,PPI distance,pathway distance,literature distance,protein age gene A & B quad. mean,essentiality gene A & B quad. mean,pLI gene A & B quad. mean,dN/dS gene A & B quad. mean,haploinsufficiency gene A & B quad. mean,number of pathways gene A & B quad. mean,number of phenotypes gene A & B quad. mean,number of neighbors PPI gene A & B quad. mean,number of neighbors pathway gene A & B quad. mean,number of neighbors literature gene A & B quad. mean,number highly co-expressed gene A & B quad. mean,number common highly co-expressed,number common neighbors PPI,number common neighbors pathway,number common neighbors literature
CEP290,RPE65,"Papadimitriou et al., 19 validation set",0.5073810147756562,99.9,0.1448452926857672,87.0,0.27639256741360557,99.9,0.1922016806722689,98.0,0.7262449787332717,99.9,0.597936507936508,99.9,0.5501243758378825,99.9,0.0,0.19310344827586207,0.0,0.5,0.0,0.3333333333333333,676.6184892537301,0.5,1.0312445698430785e-07,0.19196385055275902,0.5119022661148039,5.830951894845301,95.51177937825261,276.4823683347638,50.91168824543142,174.69115604403103,92.70652619961552,0.0,0.0,0.0,0.002551020408163265
AHI1,CEP290,"Papadimitriou et al., 19 validation set",0.6980627613162717,99.9,0.38809090909090904,99.9,0.784,99.9,0.15907762052189298,96.0,0.804,99.9,0.81608,99.9,0.788,99.9,0.125,0.273972602739726,0.005432715814635737,1.0,0.0,0.3333333333333333,819.8088191767639,0.6373774391990981,2.3027875681247083e-14,0.3461729670850916,0.4305563903253915,5.70087712549569,99.02019995940222,276.7101371471598,50.91168824543142,175.06855799943062,94.50132274206535,0.012578616352201259,0.0038022813688212928,0.0,0.02518891687657431
CEP290,CRB1,"Papadimitriou et al., 19 validation set",0.5053007914688805,99.9,0.14183694520519036,87.0,0.25156044236046016,99.9,0.16664904909332154,97.0,0.6542558392178164,99.9,0.548016507936508,99.9,0.4373008429060554,99.9,0.0,0.16891891891891891,0.0,0.5,0.0,0.0,876.6595690460465,0.5,2.373739818568597e-09,0.32150099187434067,0.39755451661713553,5.70087712549569,95.51177937825261,292.4944443916841,50.91168824543142,174.69115604403103,91.96738552334735,0.0,0.0,0.0,0.017408123791102514
CLCNKA,CLCNKB,"Nozu et al., 08",0.79,99.9,0.5760384427872338,99.9,0.704,99.9,0.11819695920569824,89.0,0.788,99.9,0.804,99.9,0.781,99.9,0.5,0.6486486486486487,0.0,0.0,0.0,0.0,454.6,0.6373774391990981,5.521377912636423e-12,0.3458578501825666,0.021297397424654273,1.5811388300841898,31.184932259025352,19.091883092036785,1.0,345.06883371292747,15.556349186104045,0.0,0.0,1.0,0.0
TCF3,TNFRSF13B,"Ameratunga et al., 17",0.45373872973044216,99.9,0.21831660749073745,98.0,0.2162057227008476,99.5,0.14005047100509896,93.0,0.6680177439797212,99.9,0.33014323176823174,99.9,0.4891171198974091,99.9,0.0,0.12307692307692308,0.001939600830149155,0.3333333333333333,0.3333333333333333,0.0,229.45615049503468,0.75,0.13127235407758517,0.4105829512814079,0.17374753265170853,4.527692569068709,36.9120576505835,142.3411395205195,24.698178070456937,1041.5682886877846,136.93976778131326,0.00966183574879227,0.0,0.0,0.0
IFNAR1,IFNGR2,"Hoyos-Bachiloglu et al., 17",0.14422222222222222,99.5,0.26200598802395214,99.0,0.26201230599389574,99.9,0.09666738771357253,79.0,0.18002739726027397,99.5,0.13607407407407407,99.5,0.160009009009009,99.5,0.2857142857142857,0.0,0.0045069406886605375,0.3333333333333333,0.5,0.3333333333333333,394.94392639968527,0.6373774391990981,0.6231600026561673,0.5429045363188224,0.002644722100613314,18.027756377319946,2.1213203435596424,22.638462845343543,54.886246000250374,60.66712454039667,61.77782773778955,0.01680672268907563,0.027777777777777776,0.55,0.0
PCDH15,USH1G,"Schrauwen et al., 17",0.7600895784033522,99.9,0.5461162866449512,99.9,0.7040187394896542,99.9,0.11810231342880138,89.0,0.754,99.9,0.7720137931034483,99.9,0.8100070052539404,99.9,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,454.6,0.6373774391990981,0.000768073127140205,0.19014584990550878,0.2727844484767952,0.0,27.54087870784082,0.7071067811865476,0.0,18.721645226849056,179.74426277353055,0.0,0.03333333333333333,0.0,0.0
LAMA4,MYH7,"Abdallah et al., 19",0.33468150443180406,99.9,0.19188351068971446,95.0,0.12217924452976808,99.0,0.22868076145776953,99.5,0.2687566190241542,99.5,0.18797160116581801,99.5,0.30902837657326143,99.9,0.0,0.0989010989010989,0.0,0.5,0.3333333333333333,0.0,1161.7925804548763,0.5,0.0001030723335219027,0.18912061736545727,0.40686278812865384,10.44030650891055,64.66065264130884,178.6644900364927,76.63223864666881,103.9831717154271,167.51865567750954,0.0,0.0,0.0,0.010830324909747292
KCNE2,KCNH2,"Heida et al., 19",0.862,99.9,0.724,99.9,0.774,99.9,0.24441114827201785,99.5,0.888,99.9,0.866,99.9,0.872,99.9,0.25,0.6153846153846154,0.0,1.0,0.0,1.0,683.1545396175012,0.5,0.7043149979315748,0.21442211783781903,0.49286633010903125,2.5495097567963922,10.793516572461451,67.89698078707183,4.242640687119285,49.64876634922564,37.98025802966588,0.0,0.038461538461538464,0.0,0.654320987654321
CLCNKB,SLC12A3,"Kong et al., 19",0.30108867419040203,99.9,0.22287517169582685,98.0,0.15904723250318387,99.5,0.0182001790154113,3.0,0.60808621008621,99.9,0.43491006743257143,99.9,0.37240722536904364,99.9,0.0,0.14285714285714285,0.0017904141227866007,0.0,0.0,0.0,719.2917210701094,0.6373774391990981,5.5213436886392075e-12,0.2643603890298407,0.11516465988093577,1.5811388300841898,29.410882339705484,8.48528137423857,0.7071067811865476,47.38143096192854,242.33035303073365,0.0,0.0,0.0,0.0
