,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('NEXN', 'TTN')",0.0,0.25,0.0005662931019837248,0.5,0.0,0.25,2.5894398528233625e-06,0.4466616687249215,855.368049438369,0.24073197297513266,0.6373774391990981,4.242640687119285,24.829418035870273,383.24013359772226,21.920310216782973,68.00735254367721,14.916433890176299,0.054441260744985676,0.0,0.14583333333333334,0.0
"('DSP', 'TTN')",0.0,0.05555555555555555,7.091499490475762e-05,0.5,0.25,0.5,0.7070371614256984,0.468165828372618,910.0,0.16019709929693138,0.6373774391990981,4.527692569068709,38.3275357934736,484.083670453776,23.03258561256204,83.86298349093002,45.617978911828175,0.06256860592755215,0.0,0.10666666666666667,0.0
"('JUP', 'DSP')",0.4,0.4074074074074074,0.04549590536851683,1.0,1.0,0.0,0.7075351357825127,0.7090898544630556,910.0,0.12456755967376468,0.6373774391990981,9.0,38.3275357934736,441.4396901050018,49.30010141977397,50.204581464244875,51.58003489723519,0.349768875192604,0.11666666666666667,0.0,0.2948717948717949
"('MYH7', 'RBM20')",0.0,0.12087912087912088,0.002260755544502973,0.0,0.0,0.25,0.00010307233329132452,0.3932198586589766,1000.4722484906815,0.23486137987409045,0.6373774391990981,4.949747468305833,64.81512169239521,177.48380207782344,6.363961030678928,104.00480758118829,46.010868281309364,0.0,0.0,0.013422818791946308,0.014925373134328358
"('ABCC9', 'TTN')",0.0,0.0782608695652174,0.0008178086000752384,0.5,0.2,0.3333333333333333,0.0004953586367741431,0.29845215108012113,1318.8032453705898,0.1392027803691435,0.6373774391990981,6.324555320336759,68.4470598345904,336.0215766881645,21.965882636488796,67.17886572427373,17.46424919657298,0.0020491803278688526,0.0,0.0,0.0
"('MYH7', 'NEXN')",0.0,0.10752688172043011,0.0003077368111696153,0.5,0.0,0.0,0.00010310485482686678,0.5361142626633969,1119.51619014644,0.22085148879290087,0.5,5.656854249492381,64.90377492873584,256.0488234692751,6.363961030678928,104.48444860360799,45.98369276167367,0.09635974304068523,0.0,0.09523809523809523,0.0
"('ALAD', 'CPOX')",0.75,0.125,0.002193992847583317,0.5,1.0,0.5,0.04744599517631429,0.18751675665951806,3185.1518017199746,0.20738095212215146,0.75,3.5355339059327378,28.160255680657446,23.42007685726074,7.0,316.36213427020624,31.50396800404673,0.046511627906976744,0.75,0.015250544662309368,0.016129032258064516
"('PDZD7', 'USH2A')",0.0,0.5,0.00011012003083360864,0.0,0.0,0.0,0.5110754322866261,0.6274587335766856,615.407198527934,0.30685124057591034,0.6373774391990981,0.0,39.528470752104745,3.5355339059327378,2.1213203435596424,0.7071067811865476,2.8284271247461903,0.0,0.0,0.0,0.0
"('USH1C', 'CDH23')",0.0,0.7272727272727273,0.00010442860842613556,1.0,0.0,0.0,0.03584533514787499,0.4422122153813818,683.1545396175012,0.205575808129109,0.5,0.0,28.50438562747845,7.3824115301167,3.5355339059327378,212.84031572989173,59.434838268476845,0.18181818181818182,0.0,0.0033222591362126247,0.0
"('PCDH15', 'CDH23')",0.0,0.8387096774193549,0.0004933983303400502,0.0,0.0,0.25,0.03584533514787499,0.43661071501302584,719.2917210701094,0.21143000719044364,0.5,0.0,28.50438562747845,2.1213203435596424,0.0,213.63169240541066,4.743416490252569,0.0,0.0,0.025078369905956112,0.0
"('MYO7A', 'GPR98')",0.0,0.0,8.986760704130675e-05,0.5,0.0,0.0,5.747919520978013e-24,0.35257514088841413,876.6595690460465,0.23592256291937078,0.5303300858899106,0.7071067811865476,26.16295090390226,93.28719097496719,0.0,232.16050482371028,9.924716620639604,0.029069767441860465,0.0,0.0,0.0
"('MYO7A', 'USH2A')",0.0,0.4032258064516129,0.00011363907547793753,0.5,0.0,0.0,3.8019282983533355e-25,0.710039507855852,876.6595690460465,0.2544023212653482,0.6373774391990981,0.7071067811865476,43.982951242498494,41.86884283091664,2.1213203435596424,27.577164466275352,9.899494936611665,0.015873015873015872,0.0,0.0,0.0
"('ATP2B2', 'MYO6')",0.0,0.0,6.210589925305234e-05,0.5,0.0,0.5,0.7071631517019523,0.592751080909661,1151.1698397716993,0.13818597353295306,0.5,8.602325267042627,4.949747468305833,463.9676712875586,14.142135623730951,243.98872924788964,37.12142238654117,0.004497751124437781,0.0,0.014450867052023121,0.0
"('DFNB31', 'GPR98')",0.0,0.0,0.0001543719685204682,0.3333333333333333,0.0,0.0,0.007840751179510507,0.12755177421528013,842.0,0.3014086488658066,0.0,0.0,0.0,85.44003745317531,0.0,230.5168106668145,2.9154759474226504,0.0,0.0,0.0,0.0
"('ATP2B2', 'CDH23')",0.0,0.0,0.002988285919196749,0.3333333333333333,0.0,0.5,0.7079593191743042,0.44979532473063405,1318.8032453705898,0.15276710563976473,0.5,6.363961030678928,19.79898987322333,10.124228365658293,0.0,212.88142239284292,28.36370920736567,0.0,0.0,0.0032679738562091504,0.075
"('MYO7A', 'CDH23')",0.0,0.5853658536585366,0.0011363378105043067,1.0,0.0,1.0,0.03584533514787499,0.49918715074781167,910.0,0.15703519138921776,0.6373774391990981,0.7071067811865476,32.810059433045836,41.773197148410844,0.0,214.61826576505553,10.124228365658293,0.01639344262295082,0.0,0.04294478527607362,0.0
"('PDZD7', 'GPR98')",0.0,0.0,0.0004061589950001828,0.0,0.0,0.0,0.5110754322866261,0.11771826365506168,615.407198527934,0.2917132127145122,0.5303300858899106,0.0,17.67766952966369,83.43860018001261,0.0,230.51789518386636,2.9154759474226504,0.0,0.0,0.0,0.0
"('MYO7A', 'PCDH15')",0.0,0.6097560975609756,0.0002120081411126187,0.0,0.0,0.0,5.113256103161963e-11,0.43595821466906354,719.2917210701094,0.17912007439242322,0.6373774391990981,0.7071067811865476,33.24154027718932,41.71930009000631,0.0,33.1436268383531,10.770329614269007,0.0,0.0,0.031746031746031744,0.0
"('ATP2B3', 'LAMA1')",0.0,0.0,0.000779368555596256,0.5,0.0,0.0,0.7062362860895713,0.14970594268477805,1318.8032453705898,0.33698561258616416,0.5,11.180339887498949,12.727922061357855,25.0,84.14570696119915,12.020815280171307,7.0710678118654755,0.02564102564102564,0.0,0.0,0.0
"('BAAT', 'TJP2')",0.0,0.6363636363636364,0.00010274356131787112,0.3333333333333333,0.25,0.3333333333333333,5.648499268264518e-06,0.17547344026451034,692.302477245315,0.3439275535115372,0.5,6.324555320336759,9.219544457292887,169.71888521905865,29.77414986191881,59.88739433303139,7.106335201775948,0.0,0.0,0.0,0.0
"('BBS1', 'BBS12')",1.0,0.4375,0.00045773713072056984,1.0,0.0,0.0,3.0494854535085466e-07,0.11822738872330651,692.302477245315,0.2970634155184818,0.6373774391990981,1.0,48.703182647543684,29.068883707497267,0.0,1.5811388300841898,23.08679276123039,0.23809523809523808,0.0,0.5,0.0
"('BBS1', 'BBS9')",1.0,0.421875,0.0009570385399420033,1.0,0.0,0.0,1.2577172183398662e-07,0.3532273928418876,910.0,0.17626243581941028,0.6373774391990981,1.0,48.399380161320245,99.36297097007517,0.0,1.5811388300841898,20.615528128088304,0.09433962264150944,0.0,0.5,0.0
"('BBS7', 'BBS2')",1.0,0.5,0.0015391956163708844,1.0,0.0,1.0,0.0008334990467379354,0.45801663316261065,662.0377783782433,0.10901229543292608,0.6373774391990981,1.0,43.965895873961216,31.535694062442957,0.0,35.106979363083916,30.700162866017504,0.6578947368421053,0.0,0.016129032258064516,0.07272727272727272
"('BBS1', 'BBS2')",1.0,0.36046511627906974,0.0016539313949257386,1.0,0.0,0.0,1.2577098216258772e-07,0.37927420585135596,910.0,0.10901229543292608,0.6373774391990981,1.0,58.6046073274107,36.124783736376884,0.0,33.26409475695979,18.24828759089466,0.6,0.0,0.0425531914893617,0.0
"('BBS10', 'BBS2')",1.0,0.4576271186440678,0.002709439687872548,1.0,0.0,0.0,4.7977217015327665e-09,0.362932217456315,655.4049168262319,0.39384653627498417,0.6373774391990981,1.0,44.64302857109943,33.0,0.0,33.24154027718932,22.54994456755936,0.24528301886792453,0.0,0.02127659574468085,0.046511627906976744
