,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('ANKRD1', 'MIR142')",0.0,0.0,0.0,0.0,0.0,0.0,0.00017697150821486307,0.2657013728318836,255.40696936458096,0.1231375951809145,0.3535533905932738,0.7071067811865476,5.656854249492381,100.40916292848975,0.0,37.48332962798263,12.020815280171307,0.0,0.0,0.0,0.0
"('ARPC3', 'COX6B1')",0.0,0.0,0.009057150620414818,0.5,0.2,0.0,0.6611984668924372,0.5618732518190184,1503.6302737042774,0.16537609704011708,0.75,647.6055898461656,24.041630560342615,526.8719009398774,43.41082814229648,73.87827826905551,88.29496021857646,0.01376720901126408,0.0,0.0,0.04878048780487805
"('COX17', 'DDX31')",0.0,0.0,9.134697509059335e-05,0.5,0.0,0.0,0.3642603261279474,0.2117337599485727,1195.2081743361698,0.27984070248166565,0.75,40.30508652763321,0.0,262.0772786794002,1.0,3.1622776601683795,49.4064773081425,0.032586558044806514,0.0,0.0,0.0
"('CGGBP1', 'MYH15')",0.0,0.0,0.0001054773323938819,0.5,0.0,0.0,0.5498685193900176,0.44166948850533844,975.3038526531103,0.2812253073447058,0.6373774391990981,117.37972567696688,0.0,49.0,2.8284271247461903,91.92388155425118,8.06225774829855,0.031578947368421054,0.0,0.0,0.0
"('ESRRG', 'ZNF221')",0.0,0.0,0.000106252085197172,0.3333333333333333,0.0,0.3333333333333333,0.6622841379083275,0.7059048349755297,719.2917210701094,0.020771261697354836,0.5,0.7071067811865476,0.0,21.224985276791124,2.1213203435596424,30.53686296920494,18.439088914585774,0.0,0.0,0.0,0.0
"('PTPN1', 'TMEM238')",0.0,0.0,0.0,0.0,0.0,0.5,0.4933094883067729,0.5044699065427353,321.45074272740453,0.11554124804588184,0.75,816.7083322704624,0.0,152.02795795510772,64.34671708797582,163.21917779476775,3.5355339059327378,0.0,0.0,0.06785714285714285,0.0
"('BEND5', 'OR8G2')",0.0,0.0,0.00011069636871632064,0.0,0.0,0.0,0.08131069606493872,0.3768827454218594,255.40696936458096,0.2454014262387242,0.3535533905932738,0.0,0.0,4.949747468305833,4.242640687119285,2.1213203435596424,11.313708498984761,0.0,0.0,0.0,0.0
"('FXYD1', 'HSFX1')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1647841020412735,0.0517534794294284,20.930360723121808,0.42253339775954074,0.6373774391990981,75.66042558696059,0.0,6.041522986797286,6.363961030678928,48.08326112068523,24.041630560342615,0.0,0.0,0.0,0.0
"('R3HDM2', 'ZBTB48')",0.0,0.0,0.00021533392909053715,0.3333333333333333,0.0,0.0,0.8528023178074692,0.3949050028703278,454.6,0.16834091062508438,0.6373774391990981,0.0,0.0,100.89598604503551,2.1213203435596424,2.1213203435596424,48.02082881417188,0.0,0.0,0.0,0.0
"('GPR65', 'PET112L')",0.0,0.0,6.75035760019387e-05,0.0,0.0,0.0,0.3574004412422915,0.04051075772732947,229.45615049503468,0.21909431650918565,0.3535533905932738,1.4142135623730951,0.0,4.949747468305833,93.33809511662427,245.36605307173198,21.37755832643195,0.0,0.0,0.0,0.0
"('LINC00892', 'NDUFV1')",0.0,0.0,0.0,0.0,0.0,0.0,6.947596533016614e-05,0.13345507144147198,2969.8484809834995,0.0781081029064525,0.5303300858899106,94.04520189781083,28.284271247461902,50.91168824543142,31.81980515339464,1.4142135623730951,49.49747468305833,0.0,0.0,0.0,0.0
"('CCDC85B', 'SLC30A3')",0.0,0.0,0.0001146748223400315,0.25,0.0,0.3333333333333333,0.5739678736359072,0.10585034286485183,2972.4578390618094,0.17426877929800427,0.75,0.7071067811865476,0.0,99.0176751898367,0.0,3.8078865529319543,25.387004549572207,0.0,0.0,0.0,0.0
"('ATP5J', 'CUX2')",0.0,0.0,0.00012088448761901077,0.3333333333333333,0.0,0.3333333333333333,0.7104050567357997,0.30960829337558227,1135.867069687294,0.3902692143500708,0.3535533905932738,306.1772362537751,0.0,263.05227617338727,14.916433890176299,9.219544457292887,37.1012129181783,0.0,0.0,0.0,0.0
"('KRTAP4-16P', 'RHOB')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1733066483587509,0.4524139087365162,967.322076663197,0.08750446417183526,0.3535533905932738,6.363961030678928,0.0,127.44606702444764,97.58073580374356,79.90306627407988,16.263455967290593,0.0,0.0,0.0,0.0
"('KCNF1', 'POF1B')",0.0,0.0,7.917230109542796e-05,0.3333333333333333,0.0,0.0,0.35240014393732244,0.2602624989418709,648.795098625136,0.28347387832722354,0.5,0.7071067811865476,3.5355339059327378,38.99358921669048,2.1213203435596424,0.0,13.601470508735444,0.0,0.0,0.0,0.0
"('CWC27', 'KLK9')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0027852623486379364,0.32287819706246773,1157.8849705389564,0.16345951758429028,0.6373774391990981,0.7071067811865476,3.5355339059327378,82.73451516749222,0.0,9.848857801796104,49.49747468305833,0.0,0.0,0.0,0.0
"('CHP2', 'EDN2')",0.0,0.0,0.00022061516332140543,0.25,0.25,0.25,0.009120138144786792,0.05835530893044653,124.52150416695102,0.323776338363307,0.5,1.4142135623730951,0.0,4.123105625617661,94.79451460923254,215.08137994721903,12.103718436910205,0.0,0.0,0.04201680672268908,0.0
"('CCKAR', 'EYA2')",0.0,0.0,9.918263589756814e-05,0.3333333333333333,0.0,0.25,0.23755659588735253,0.4809639043981555,910.0,0.21467296387367216,0.5,147.07991025289618,0.0,24.13503677229434,94.75230867899737,25.622255950637914,14.866068747318506,0.0,0.0,0.0,0.0
"('KRTAP10-4', 'RNF175')",0.0,0.0,0.0,0.0,0.0,0.0,0.0012945166966612132,0.020085921498178182,647.1424727214247,0.17756236949795526,0.5,0.7071067811865476,0.0,125.15790027001891,0.0,8.48528137423857,4.949747468305833,0.0,0.0,0.0,0.0
"('AASS', 'MC1R')",0.0,0.020833333333333332,6.848906948695523e-05,0.5,0.0,0.0,9.854562488431989e-07,0.09385544309200987,967.322076663197,0.1176625683894415,0.5,1227.4243357535322,24.9098374141623,157.9952530932496,55.154328932550705,40.30508652763321,9.219544457292887,0.00423728813559322,0.0,0.0,0.0
"('KIAA1267', 'MZF1')",0.0,0.0,0.0006041857992169753,0.3333333333333333,0.0,0.0,1.2833616313276483e-06,0.01350931677386908,170.25686476615266,0.23920896294116759,0.5303300858899106,0.0,0.0,18.34393632784414,1.4142135623730951,9.192388155425117,27.16615541441225,0.0,0.0,0.0,0.018867924528301886
"('CNIH3', 'SLC12A7')",0.0,0.0,5.550963675048807e-05,0.3333333333333333,0.0,0.0,0.26998640744552016,0.15136614397027118,719.2917210701094,0.19851316252189538,0.6373774391990981,13.509256086106296,0.0,17.7341478509682,0.0,0.0,12.165525060596439,0.0,0.0,0.0,0.0
"('SCN1A', 'SPZ1')",0.0,0.0,0.0002553606586262107,0.3333333333333333,0.0,0.0,0.7071075876281968,0.48081906687593196,599.3541357161057,0.5766639714632152,0.5,283.5498192558056,37.476659402887016,61.554853586049575,0.0,0.0,3.605551275463989,0.0,0.0,0.0,0.0
"('MND1', 'SCARF1')",0.0,0.0,5.285350804588953e-05,0.3333333333333333,0.0,0.0,0.00046683049978226505,0.5532879984032216,1173.8152005320087,0.3189358701542345,0.75,1.0,0.0,10.700467279516348,3.605551275463989,3.605551275463989,19.912307751739878,0.0,0.0,0.0,0.0
"('DUSP19', 'MT-ND3')",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0031070269718610883,0.1376141398852296,1173.8152005320087,0.18654762536394195,0.6373774391990981,1.4142135623730951,0.0,33.354160160315836,31.11269837220809,21.213203435596427,13.435028842544403,0.0,0.0,0.0,0.0
"('GML', 'SPATA31A7')",0.0,0.0,0.0,0.0,0.0,0.0,0.46072387154177447,0.0005338170104750316,68.87220048756973,0.4064292643420012,0.75,0.0,0.0,89.09545442950498,0.0,2.1213203435596424,43.1335136523794,0.0,0.0,0.0,0.0
"('CUL4A', 'MFAP3L')",0.0,0.0,8.947545017335868e-05,0.5,0.0,0.0,0.9560049468970797,0.16724224125585557,967.322076663197,0.12074645053028829,0.5,478.7112908632927,0.0,296.27858511880333,0.0,15.556349186104045,12.020815280171307,0.002386634844868735,0.0,0.0,0.0
"('ACSF2', 'C19orf60')",0.0,0.0,0.0008410428931875525,0.3333333333333333,0.0,0.0,0.18637415453140332,0.0270822894874573,2970.6469632051535,0.4011810397222843,0.3535533905932738,0.7071067811865476,0.0,13.038404810405298,0.0,3.5355339059327378,24.300205760445735,0.0,0.0,0.0,0.0
"('CILP', 'NPDC1')",0.0,0.0,0.0001231876023996945,0.3333333333333333,0.0,0.0,0.4973800867694839,0.18099320253564077,577.1569154051608,0.28947608325693813,0.6373774391990981,1.0,0.0,10.700467279516348,0.7071067811865476,2.9154759474226504,8.631338250816034,0.0,0.0,0.0,0.0
"('CDC123', 'LOC285556')",0.0,0.0,9.38218323403856e-05,0.3333333333333333,0.0,0.0,0.1694426051499362,0.47362433639516544,595.383909759073,0.0,0.7071067811865476,0.0,0.0,7.106335201775948,0.0,260.92240225783604,40.527768258318886,0.0,0.0,0.0,0.0
"('KLRD1', 'PCP4')",0.0,0.0,5.4537581301899326e-05,0.3333333333333333,0.0,0.25,0.05424833446181949,0.13428135484462048,199.3730799280585,0.3744268991024536,0.6373774391990981,258.8010819142764,0.0,120.37649272179348,29.698484809834994,26.1725046566048,34.20526275297414,0.0,0.0,0.0,0.0
"('ELP2', 'RBPJ')",0.0,0.03333333333333333,0.0011101859561476548,0.5,0.3333333333333333,0.3333333333333333,0.7070566958016707,0.7174499116431157,1161.7925804548763,0.16745358590353523,0.75,18541.04692297606,36.359317925395686,114.17968295629481,40.527768258318886,80.01562347441904,34.48187929913333,0.03317535545023697,0.0,0.00847457627118644,0.0
"('DCBLD2', 'KRTAP1-3')",0.0,0.0,0.00010197921255731232,0.3333333333333333,0.0,0.0,0.46244512328365706,0.10917417915994547,321.45074272740453,0.14531044353383551,0.6373774391990981,0.7071067811865476,0.0,125.2078272313676,2.1213203435596424,2.1213203435596424,163.8932579455299,0.0,0.0,0.0,0.0
"('CCDC104', 'RNF133')",0.0,0.0,5.141911618766332e-05,0.3333333333333333,0.0,0.3333333333333333,0.010718119964616978,0.023551353830966237,643.4671708797582,0.34080946574610976,0.3535533905932738,0.0,0.0,3.1622776601683795,0.0,8.94427190999916,30.886890422961002,0.0,0.0,0.0,0.0
"('NDRG1', 'SRGAP1')",0.0,0.0,0.000194642276691782,0.3333333333333333,0.3333333333333333,0.25,0.6995524785483095,0.329317638779758,719.2917210701094,0.0960626300331658,0.5,266.58019431308094,12.727922061357855,109.74743732771167,17.204650534085253,80.05623023850174,27.202941017470888,0.0,0.0,0.0,0.0
"('ADAMTS4', 'GJC2')",0.0,0.0,0.0004872819413312543,0.5,0.0,0.5,0.34175417407312153,0.15484841794445736,655.4049168262319,0.20772193252037688,0.5,2.23606797749979,33.23401871576773,102.23746866975922,1.4142135623730951,91.0659101969557,13.435028842544403,0.012903225806451613,0.0,0.09859154929577464,0.0
